FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty, FacilityState,FacilityZipCode,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
1031725,Casey's General Store #1708,Private,Retail fuel sales (non-marina),Attended Self-Service Station,400 W. Norris Dr.,,Ottawa,LaSalle,IL,61350,5,No,,41.35630035400391,-88.84590148925781,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1031939,Minit Mart Ottawa North #639,Private,Retail fuel sales (non-marina),Attended Self-Service Station,403 E. Norris Drive,,Ottawa,LaSalle,IL,61350,5,No,,0.0,0.0,Unknown,"Minit Mart, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1031960,Perryville Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service Station,3251 Perryville Road,,Rockford,Winnebago,IL,61107,5,No,,42.30701,-88.97918,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1031974,Maplehurst Farms,Private,Other,Private Institution,936 S. Moore Rd,,Rochelle,Ogle,IL,610689723,5,No,,42.0078,-89.03983,Geocoded address,Maplehurst Farms,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1031979,Beck's #29,Private,Retail fuel sales (non-marina),Attended Self-Service Station,110 N. Lewis,,Oglesby,LaSalle,IL,61348,5,No,,41.29660034179688,-89.07849884033203,Geocoded address,Beck Oil Company of Illinois,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1032040,Casey's General Store #1726,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2806 West 4th Street,,Sterling,Whiteside,IL,61081,5,No,,0.0,0.0,Unknown,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1032085,Winnebago County Highway Department,Local Government,Other,County,424 N. Springfield Ave.,,Rockford,Winnebago,IL,61101,5,No,,42.28203,-89.1472,Geocoded address,Winnebago County Hwy Dept,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1032218,Graphic Arts Express,Private,Trucking/transport/fleet operation,Trucking Company,1155-1345 E. IL Rt. 64,,Oregon,Ogle,IL,61061,5,No,,0.0,0.0,Unknown,"LSIL, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1032312,"Trusted Gas, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service Station,360 College Avenue,,Rockford,Winnebago,IL,61104,5,No,,42.26190185546875,-89.09089660644531,Geocoded address,"S & R Mobil, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1032339,Express Lane Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,430 West Harrison,,Rockford,Winnebago,IL,61102,5,No,,42.237701416015625,-89.10790252685547,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1032471,Princeton Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2225 North Main Street,,Princeton,Bureau,IL,61356,5,No,,41.39649963378906,-89.46829986572266,Geocoded address,Peugh Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1032555,Alpine Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1621 N Alpine Rd,,Rockford,Winnebago,IL,61107,5,No,,42.28684,-89.0287,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1032717,Penske Truck Leasing,Private,Trucking/transport/fleet operation,Trucking Company,4617 Sandy Hollow Road,,Rockford,Winnebago,IL,61109,5,No,,42.22263,-89.02634,Geocoded address,"Penske Truck Leasing Co., LP",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1032806,"Mega Express, Inc.",Private,Commercial,Commercial / Retail,4760 American Road,,Rockford,Winnebago,IL,61109,5,No,,42.22980117797852,-89.02349853515625,Geocoded address,"Ikon of IL, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1032955,Circle K #1397,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2300 DeKalb Avenue,,Sycamore,De Kalb,IL,60178,5,No,,41.96189880371094,-88.72010040283203,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1033089,Meridian Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,1021 S. Meridian Road,,Rockford,Winnebago,IL,61102,5,No,,42.2681999206543,-89.17430114746094,Geocoded address,Simple Fuel Company,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1033107,Jakobs Brothers Farms,Private,Agricultural/farm,Farm,21950 Ridge Road,,Sterling,Whiteside,IL,61081,5,No,,41.89491,-89.74564,Geocoded address,Jakobs Brothers Farms,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033280,Sandwich Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,222 W. Church St.,,Sandwich,De Kalb,IL,60548,5,No,,41.64382,-88.62497,Geocoded address,"HBPN, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033319,Lake Holiday Marina,Private,Marina,Marina,320 Holiday Drive,,Somonauk,De Kalb,IL,60552,5,No,,41.619545,-88.683782,Geocoded address,"TSA Enterprises, Inc.",,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,20230638
1033379,United Parcel Service Air Hub,Private,Aviation/airport (non-rental car),Airport,3300 Airport Dr.,,Rockford,Winnebago,IL,61109,5,No,,42.202713,-89.106806,Geocoded address,United Parcel Service Inc,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033431,"Super Gas, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service Station,1955 Elmwood Road,,Rockford,Winnebago,IL,61103,5,No,,42.33254,-89.07676,Geocoded address,Muhammad Fyaz,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,14-0683
1033432,Tollway Mobil #5,Private,Retail fuel sales (non-marina),Attended Self-Service Station,7490 E. Riverside Blvd.,,Loves Park,Winnebago,IL,61111,5,No,,0.0,0.0,Unknown,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033461,South West Ave Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1730 S West Ave,,Freeport,Stephenson,IL,60132,5,No,,42.27822,-89.6322,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033602,DeKalb Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2400 Sycamore,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033787,Casey's General Store #1837,Private,Retail fuel sales (non-marina),Attended Self-Service Station,520 West Peru Street,,Princeton,Bureau,IL,61356,5,No,,41.371700286865234,-89.47139739990234,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1033788,Casey's General Store #1836,Private,Retail fuel sales (non-marina),Attended Self-Service Station,425 South Main Ave.,,Ladd,Bureau,IL,61329,5,No,,41.37839889526367,-89.21900177001953,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1033835,Petro Center Rochelle,Private,Retail fuel sales (non-marina),Attended Self-Service Station,900 Petro Drive,,Rochelle,Ogle,IL,61068,5,No,,41.93619918823242,-89.0344009399414,Geocoded address,"M&B Truck Stop Real Estate, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033858,Express Lane Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,202 S. Division Street,,Polo,Ogle,IL,61064,5,No,,41.98509979248047,-89.57879638671875,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1033921,Johnson Oil Company,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2065 West Galena Avenue,,Freeport,Stephenson,IL,61032,5,No,,42.30419921875,-89.6531982421875,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1033922,Casey's General Store #1841,Private,Retail fuel sales (non-marina),Attended Self-Service Station,330 S. 7th Street,,Rochelle,Ogle,IL,61068,5,No,,0.0,0.0,Unknown,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1033923,Casey's General Store #1843,Private,Retail fuel sales (non-marina),Attended Self-Service Station,900 Dixon Avenue,,Rock Falls,Whiteside,IL,61071,5,No,,41.77970123291016,-89.67659759521484,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1033925,Sandy Hollow Quad Office,Private,Other,Construction,4781 Sandy Hollow Road,,Rockford,Winnebago,IL,61109,5,No,,42.22146,-89.02233,Geocoded address,Northern Illinois Service Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1033961,IL0108,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1630 Rural Street,,Rockford,Winnebago,IL,61107,5,No,,42.27470016479492,-89.06849670410156,Geocoded address,Lehigh Gas Wholesale Services,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1033961,IL0108,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1630 Rural Street,,Rockford,Winnebago,IL,61107,5,No,,42.27470016479492,-89.06849670410156,Geocoded address,Lehigh Gas Wholesale Services,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,951-187
1033988,Fas Mart #5199,Private,Retail fuel sales (non-marina),Attended Self-Service Station,172 S. Bell School Rd.,,Rockford,Winnebago,IL,61108,5,No,,42.26950073242188,-88.96949768066406,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1033997,Minit Mart South Ottawa #617,Private,Retail fuel sales (non-marina),Attended Self-Service Station,911 First Avenue,,Ottawa,LaSalle,IL,61350,5,No,,41.33160018920898,-88.83709716796875,Geocoded address,"Minit Mart, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,19910140
1034037,Casey's General Store #1859,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1201 W. Route 30,,Rock Falls,Whiteside,IL,61071,5,No,,0.0,0.0,Unknown,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1034075,Peace Road,Private,Retail fuel sales (non-marina),Unattended Self-Service Station,880 North Peace Road,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,"Conserv FS, Inc.",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1034135,Cortland Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service Station,13485 State Route 38,,Cortland,De Kalb,IL,60112,5,No,,41.91345977783203,-88.6891098022461,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1034139,Kinney's Pump House,Private,Retail fuel sales (non-marina),Attended Self-Service Station,502 Center Street,,Durand,Winnebago,IL,61024,5,No,,0.0,0.0,Unknown,Bowen Oil Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1034281,Buckley Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,7250 East State Street,,Rockford,Winnebago,IL,61107,5,No,,42.26971,-88.97518,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1034337,Circle K 1408,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1110 North Dement Road,,Rochelle,Ogle,IL,61068,5,No,,41.93479919433594,-89.0344009399414,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1034483,"Expresslane, Inc. 75",Private,Retail fuel sales (non-marina),Attended Self-Service Station,4105 N. Columbus,,Ottawa,LaSalle,IL,61350,5,No,,41.37939834594727,-88.83599853515625,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,96-0921
1034505,7-Eleven #34712,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2500 Pearl Street,,Belvidere,Boone,IL,61008,5,No,,42.235198974609375,-88.84159851074219,Geocoded address,"7-Eleven, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,94-1816
1034566,Kwik Star 1530,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1000 South 7th Street,,Rochelle,Ogle,IL,61068,5,No,,0.0,0.0,Unknown,"Kwik Trip, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,20180978
1034594,Fas Mart #5203,Private,Retail fuel sales (non-marina),Attended Self-Service Station,5330 E. State St.,,Rockford,Winnebago,IL,61108,5,No,,42.26499,-89.01465,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1034776,Casey's General Store #1880,Private,Retail fuel sales (non-marina),Attended Self-Service Station,412 East Harper,,Granville,Putnam,IL,61326,5,No,,41.25749969482422,-89.22309875488281,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1034777,Express Lane Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,452 Lake Lidda,,Rochelle,Ogle,IL,61068,5,No,,41.903099060058594,-89.06649780273438,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1034844,Fas Mart #5109,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2406 Bell School Rd.,,Cherry Valley,Winnebago,IL,61016,5,No,,42.24164962768555,-88.97479248046875,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1034915,Belvidere Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1776 Logan Ave,,Belvidere,Boone,IL,61008,5,No,,42.25282,-88.82133,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035006,Road Ranger #203,Private,Retail fuel sales (non-marina),Attended Self-Service Station,4980 S. Main St.,,Rockford,Winnebago,IL,61102,5,No,,42.20849990844727,-89.10769653320312,Geocoded address,"Road Ranger, LLC",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035012,Expresslane #80,Private,Retail fuel sales (non-marina),Attended Self-Service Station,508 North Pennsylvania Avenue,,Sublette,Lee,IL,61367,5,No,,41.647499084472656,-89.23490142822266,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1035033,Orlando Mobil Market,Private,Retail fuel sales (non-marina),Attended Self-Service Station,9915 Orlando Sttrry,,Machesney Park,Winnebago,IL,61115,5,No,,0.0,0.0,Unknown,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035096,Road Ranger #140,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2705 East 12th Street,,Mendota,LaSalle,IL,61342,5,No,,41.55500030517578,-89.10823059082031,Geocoded address,"Road Ranger, LLC",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,10-1231
1035142,"HZ Green Stars, LLC",Private,Retail fuel sales (non-marina),Attended Self-Service Station,1320 N. Main,,Rockford,Winnebago,IL,611250405,5,No,,42.2866,-89.08116,Geocoded address,"HZ Green Stars, LLC",,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1035225,Casey's General Store #2605,Private,Retail fuel sales (non-marina),Attended Self-Service Station,602 East Lincolnway,,Morrison,Whiteside,IL,61270,5,No,,41.807498931884766,-89.9572982788086,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035256,K.O. Truck & Auto Service Center,Private,Commercial,Commercial / Retail,5247 American Road,,Rockford,Winnebago,IL,61109,5,No,,42.22760009765625,-89.01339721679688,Geocoded address,"OX Property, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035257,South Main Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,550 Southrock Drive,,Rockford,Winnebago,IL,61102,5,No,,42.22512,-89.11003,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035331,Express Lane #34,Private,Retail fuel sales (non-marina),Attended Self-Service Station,4752 Baxter Rd.,,Rockford,Winnebago,IL,61109,5,No,,42.1682014465332,-89.02110290527344,Geocoded address,Johnson Oil Company,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1035424,Lamoille Gas,Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,66 N. Main Street,,La Moille,Bureau,IL,61330,5,No,,0.0,0.0,Unknown,Alex Charan Petroleum Co.,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035461,Mendota Marathon,Private,Retail fuel sales (non-marina),Attended Self-Service Station,208 12th Street,,Mendota,LaSalle,IL,60041,5,No,,41.555071,-89.110347,Geocoded address,"Mendota Oil and Gas, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035479,Express Lane Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1736 South West Avenue,Route 26 & Meadows Drive,Freeport,Stephenson,IL,61032,5,No,,42.27719879150391,-89.6322021484375,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1035538,Express Lane #33,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1250 Franklin Grove Road,(Il Rt. 38 & Anchor Rd.),Dixon,Lee,IL,61021,5,No,,41.837799072265625,-89.46160125732422,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1035543,Casey's General Store #1973,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1401 West 4th Street,,Dixon,Lee,IL,61021,5,No,,41.8368,-89.49713,Geocoded address,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035564,Sterling Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,4002 E Lincolnway,,Sterling,Whiteside,IL,61081,5,No,,41.8125,-89.65335,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035581,Circle K #1437,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2225 West Riverside,,Rockford,Winnebago,IL,61103,5,No,,42.31624,-89.0957,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1035584,Fas Mart #5208,Private,Retail fuel sales (non-marina),Attended Self-Service Station,3730 N. Alpine,,Rockford,Winnebago,IL,61114,5,No,,42.31439971923828,-89.02999877929688,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1035597,Dixon Mobil Mart,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1300 N. Galena,,Dixon,Lee,IL,61021,5,No,,41.86057,-89.4965,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1035691,IDOT Belvidere (235),State Government,Other,State,9797 IL Route 76,,Belvidere,Boone,IL,61021,5,No,,0.0,0.0,Unknown,Illinois Department of Transportation,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035698,Belvidere Quick Mart #2,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2001 N. State,,Belvidere,Boone,IL,61008,5,No,,42.27360153198242,-88.86329650878906,Geocoded address,"GPM Midwest, LLC",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1035721,Road Ranger #206,Private,Retail fuel sales (non-marina),Attended Self-Service Station,902 N. Elida,,Winnebago,Winnebago,IL,61088,5,No,,42.277384,-89.241677,Geocoded address,"Road Ranger, LLC",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035766,IDOT Ladd (347),State Government,Other,State,I-80 Frontage Rd & Rt 89,,Ladd,Bureau,IL,61320,5,No,,0.0,0.0,Unknown,Illinois Department of Transportation,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1035793,IL0109,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2975 Perryville Road,,Rockford,Winnebago,IL,61107,5,No,,42.30379867553711,-88.97840118408203,Geocoded address,Lehigh Gas Wholesale Services,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1035871,Durand Shell,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1002 Cameron Drive,,Durand,Winnebago,IL,61024,5,No,,42.42402,-89.33082,Geocoded address,Bowen Oil Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,04-1800
1035948,Harrison Mobil,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2624 Stowmarket,,Rockford,Winnebago,IL,61108,5,No,,42.23846,-89.00601,Geocoded address,Kelley Williamson Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1036331,GFI Cord Locck,Private,Retail fuel sales (non-marina),Unattended Self-Service Station,12401 E State Rt 72,,Davis Junction,Ogle,IL,61020,5,No,,42.101215,-89.106747,Geocoded address,"Glendenning Fertilizer, Inc.",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1036465,Expresslane #56,Private,Retail fuel sales (non-marina),Attended Self-Service Station,5247 Trompeter Road,,Peru,LaSalle,IL,61354,5,No,,41.36949920654297,-89.12750244140625,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,07-0505
1036545,Fas Mart #155,Private,Retail fuel sales (non-marina),Attended Self-Service Station,11607 Main Street,,Roscoe,Winnebago,IL,61073,5,No,,42.42940139770508,-89.01210021972656,Geocoded address,"R & B Express Mart, Inc.",,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,
1036960,"Premier Petro, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service Station,1615 De Kalb Avenue,,Sycamore,De Kalb,IL,60178,5,No,,41.97639846801758,-88.7157974243164,Geocoded address,"Premier Petro, Inc.",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1037040,Gibson Oil Co. General Store,Private,Retail fuel sales (non-marina),Attended Self-Service Station,540 W Commercial St,,Lyndon,Whiteside,IL,61261,5,No,,41.71500015258789,-89.93060302734375,Geocoded address,Gibson Oil Co,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,
1037092,"USF Holland, Inc. d/b/a Holland",Private,Commercial,Commercial / Retail,1751 New Milford School Road,,Rockford,Winnebago,IL,61109,5,No,,42.1870002746582,-89.08090209960938,Geocoded address,"Estes Terminals, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1037095,Forreston BP,Private,Retail fuel sales (non-marina),Attended Self-Service Station,209-211 North Walnut Ave.,,Forreston,Ogle,IL,61030,5,No,,0.0,0.0,Unknown,"Forreston Real Estate, Inc.",,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
1037130,Park Tower Apartments,Private,Other,Private Institution,540 Clifford Ave.,,Loves Park,Winnebago,IL,61111,5,No,,42.31850051879883,-89.05549621582031,Geocoded address,Park Tower Associates,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1037174,Stagecoach Fast Stop,Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,160 E. Main Street,,Warren,Jo Daviess,IL,61087,5,No,,42.495399475097656,-89.98750305175781,Geocoded address,"FRMZ100, LLC",,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1037234,Belvidere Waste Water Plant,Local Government,Other,City / Town,2001 Newburg Road,,Belvidere,Boone,IL,61008,5,No,,42.25593,-88.86481,Geocoded address,City of Belvidere,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1037269,Waterman,Private,Retail fuel sales (non-marina),Unattended Self-Service Station,9391 Route 23,,Waterman,De Kalb,IL,60556,5,No,,0.0,0.0,Unknown,"Conserv FS, Inc.",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1037321,Circle K #1417,Private,Retail fuel sales (non-marina),Attended Self-Service Station,127 West Blackhawk Drive,,Byron,Ogle,IL,61010,5,No,,42.12540054321289,-89.25640106201172,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,
1037321,Circle K #1417,Private,Retail fuel sales (non-marina),Attended Self-Service Station,127 West Blackhawk Drive,,Byron,Ogle,IL,61010,5,No,,42.12540054321289,-89.25640106201172,Geocoded address,"Mac's Convenience Stores, LLC",,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,982-962
1037482,"Purdy Brothers Trucking, Inc.",Private,Commercial,Commercial / Retail,200 W. Progress Drive,,Princeton,Bureau,IL,61356,5,No,,0.0,0.0,Unknown,Lisa Surrett,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1038087,Winslow BOCO,Private,Retail fuel sales (non-marina),Unattended Self-Service Station,221 Carver Street,,Winslow,Stephenson,IL,61089,5,No,,42.49319839477539,-89.79209899902344,Geocoded address,Bowen Oil Company,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1038235,Voluntary Action Center of Dekalb County,Private,Other,County,1606 Bethany Road,,Sycamore,De Kalb,IL,60178,5,No,,41.96598052978516,-88.70809936523438,Geocoded address,Voluntary Action Center of Dekalb County,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Unknown,
1038361,Expresslane #57,Private,Retail fuel sales (non-marina),Attended Self-Service Station,2971 East 8th Road,,Utica,LaSalle,IL,61373,5,No,,41.36399841308594,-89.01020050048828,Geocoded address,Arthur J. Johnson Family Limited Partnership,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,07-0507
1038403,Road Ranger #210,Private,Retail fuel sales (non-marina),Attended Self-Service Station,890 East Highway 38,,Rochelle,Ogle,IL,61068,5,No,,41.93429946899414,-89.03500366210938,Geocoded address,"Road Ranger, LLC",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1038595,Casey's General Store #2241,Private,Retail fuel sales (non-marina),Attended Self-Service Station,1001 Annie Glidden Road,,De Kalb,De Kalb,IL,60115,5,No,,0.0,0.0,Unknown,Casey's Retail Company,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Unknown,
1038611,"Samra 1403, Inc. d/b/a Pate Gas Mart, Inc.",Private,Retail fuel sales (non-marina),Attended Self-Service/Unattended Self-Service,1403 Pate Plaza Road,,South Beloit,Winnebago,IL,61080,5,No,,42.49489974975586,-89.0186996459961,Geocoded address,"Samra 1403, Inc.",,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,
